c,trun,f,value,scenario
kuw,2026,HFO,151.210578699572,A
kuw,2026,NG,680.0,A
kuw,2027,HFO,179.61960160304105,A
kuw,2027,NG,680.0,A
kuw,2028,HFO,168.71747465151876,A
kuw,2028,NG,720.0,A
kuw,2029,HFO,201.6575254331639,A
kuw,2029,NG,720.0,A
kuw,2030,HFO,195.70059175211952,A
kuw,2030,NG,760.0,A
bah,2015,NG,128.72424337809395,A
bah,2016,NG,137.30862359009438,A
bah,2017,NG,143.03452190963108,A
bah,2018,NG,148.76042022916786,A
bah,2019,NG,155.98122756868838,A
bah,2020,NG,161.8101736918254,A
bah,2021,NG,169.16946819425684,A
bah,2022,NG,176.60053248134034,A
bah,2023,NG,185.5351391802901,A
bah,2024,NG,192.98374268664708,A
bah,2025,NG,201.92360497694088,A
bah,2026,NG,209.4094941167898,A
bah,2027,NG,218.57229455742785,A
bah,2028,NG,227.03255052561474,A
bah,2029,NG,233.079330893037,A
bah,2030,NG,240.13390798836792,A
omn,2015,NG,281.7467875703302,A
omn,2016,NG,299.50930375081975,A
omn,2017,NG,308.74528164247124,A
omn,2018,NG,320.5869590961301,A
omn,2019,NG,335.38905591319997,A
omn,2020,NG,290.4944583210703,A
omn,2021,NG,303.7683028313519,A
omn,2022,NG,310.6488015359754,A
omn,2023,NG,317.6267308203871,A
omn,2024,NG,330.90057533067403,A
omn,2025,NG,346.8291887430151,A
omn,2026,NG,360.1030332532995,A
omn,2027,NG,376.0316466656445,A
omn,2028,NG,394.61502898004426,A
omn,2029,NG,410.5436423923866,A
omn,2030,NG,429.26641801622395,A
ksa,2015,HFO,390.5919,B
ksa,2015,diesel,451.5337242,B
ksa,2015,NG,1250.51076156,B
ksa,2015,Arablight,1447.5689306011434,B
ksa,2016,HFO,624.94704,B
ksa,2016,diesel,397.349677296,B
ksa,2016,NG,1375.561837716,B
ksa,2016,Arablight,1363.2265429306306,B
ksa,2017,HFO,898.3613699999999,B
ksa,2017,diesel,370.25765384400006,B
ksa,2017,NG,1451.7552292015348,B
ksa,2017,Arablight,937.1815838218831,B
ksa,2018,HFO,1015.5389399999999,B
ksa,2018,diesel,343.165630392,B
ksa,2018,NG,1550.7823877634507,B
ksa,2018,Arablight,834.0287851626106,B
ksa,2019,HFO,1144.2533615779016,B
ksa,2019,diesel,282.78946713455804,B
ksa,2019,NG,1549.894863046179,B
ksa,2019,Arablight,975.1861240290896,B
ksa,2020,HFO,1169.5119024961834,B
ksa,2020,diesel,284.5456687079992,B
ksa,2020,NG,1389.5651553904718,B
ksa,2020,Arablight,1025.8076741172968,B
ksa,2021,HFO,1151.3337172258455,B
ksa,2021,diesel,257.9419132560005,B
ksa,2021,NG,1443.457572809826,B
ksa,2021,Arablight,978.7525404020918,B
ksa,2022,HFO,1013.457833522926,B
ksa,2022,diesel,231.3381578039225,B
ksa,2022,NG,1533.2597768343771,B
ksa,2022,Arablight,1160.5236316353958,B
ksa,2023,HFO,972.8841286024989,B
ksa,2023,diesel,204.699804372,B
ksa,2023,NG,1623.3042032344879,B
ksa,2023,Arablight,1345.274775927415,B
ksa,2024,HFO,953.7033654769086,B
ksa,2024,diesel,178.10056170000084,B
ksa,2024,NG,1720.4377010439052,B
ksa,2024,Arablight,1660.9381670733974,B
ksa,2025,HFO,953.7033654769074,B
ksa,2025,diesel,151.50131902800018,B
ksa,2025,NG,1810.4521771999057,B
ksa,2025,Arablight,1775.8979382316431,B
ksa,2026,HFO,953.7033654769087,B
ksa,2026,diesel,124.90207635600376,B
ksa,2026,NG,1900.466653355928,B
ksa,2026,Arablight,1872.2919723025448,B
ksa,2027,HFO,981.2833654769079,B
ksa,2027,diesel,98.30283368399786,B
ksa,2027,NG,1990.4811295119052,B
ksa,2027,Arablight,1970.9419483518252,B
ksa,2028,HFO,1008.8633654769062,B
ksa,2028,diesel,71.70359101199985,B
ksa,2028,NG,2080.495605667907,B
ksa,2028,Arablight,1986.8752260632787,B
ksa,2029,HFO,1014.8281126850698,B
ksa,2029,diesel,45.10434834000153,B
ksa,2029,NG,2194.723681823902,B
ksa,2029,Arablight,1967.04665466957,B
ksa,2030,HFO,1040.6068416189719,B
ksa,2030,diesel,18.05834044799998,B
ksa,2030,NG,2376.7704341359045,B
ksa,2030,Arablight,1678.2699901528572,B
uae,2015,NG,1137.5190043479602,B
uae,2016,NG,1183.7434571153142,B
uae,2017,NG,1245.5594567236342,B
uae,2018,NG,1301.6718033038892,B
uae,2019,NG,1333.5273463558165,B
uae,2020,NG,1391.307735302334,B
uae,2021,NG,1083.7668688721917,B
uae,2022,NG,1049.6741211584183,B
uae,2022,Coal,72.15392938515566,B
uae,2023,NG,1089.2949932151403,B
uae,2023,Coal,83.60966074409203,B
uae,2024,NG,1045.946975664104,B
uae,2024,Coal,167.5052411891215,B
uae,2025,NG,1258.045094550415,B
uae,2025,Coal,30.36005669002327,B
uae,2026,NG,1293.5655731774834,B
uae,2026,Coal,45.8429427357544,B
uae,2027,NG,1363.6034379704445,B
uae,2027,Coal,31.06393261623657,B
uae,2028,NG,1401.7481626546048,B
uae,2028,Coal,41.49267228623691,B
uae,2029,NG,1441.0321027313212,B
uae,2029,Coal,40.394627106843586,B
uae,2030,NG,1477.8412525164931,B
uae,2030,Coal,39.45608237267491,B
qat,2015,NG,351.1149814105679,B
qat,2016,NG,376.7647288962918,B
qat,2017,NG,383.9953291320822,B
qat,2018,NG,411.1187483676706,B
qat,2019,NG,433.80496717848814,B
qat,2020,NG,441.8711766380966,B
qat,2021,NG,436.7496427692518,B
qat,2022,NG,429.01305597740054,B
qat,2023,NG,444.54657603443604,B
qat,2024,NG,461.8085032284181,B
qat,2025,NG,475.5123784716071,B
qat,2026,NG,494.68608577188763,B
qat,2027,NG,515.6075294506663,B
qat,2028,NG,533.0739396548842,B
qat,2029,NG,552.767313083341,B
qat,2030,NG,558.7222566756707,B
kuw,2015,HFO,157.6,B
kuw,2015,diesel,53.353594845090825,B
kuw,2015,NG,400.0,B
kuw,2015,Arablight,27.15,B
kuw,2016,HFO,163.904,B
