trun,c,value,scenario
2015,ksa,234.1159782409668,A
2015,uae,69.11360549926758,A
2015,qat,23.717954635620117,A
2015,kuw,39.0295524597168,A
2015,bah,66.53519248962402,A
2015,omn,19.87840461730957,A
2016,ksa,242.24397468566895,A
2016,uae,73.77470779418945,A
2016,qat,25.4510440826416,A
2016,kuw,40.99080848693848,A
2016,bah,7.1768798828125,A
2016,omn,19.933191299438477,A
2017,ksa,242.121244430542,A
2017,uae,76.2204704284668,A
2017,qat,25.920942306518555,A
2017,kuw,42.68790245056152,A
2017,bah,7.547691345214844,A
2017,omn,20.512170791625977,A
2018,ksa,255.55195236206055,A
2018,uae,79.05137634277344,A
2018,qat,28.230104446411133,A
2018,kuw,45.42554473876953,A
2018,bah,8.00143051147461,A
2018,omn,20.770776748657227,A
2019,ksa,269.41939544677734,A
2019,uae,81.85580062866211,A
2019,qat,29.758068084716797,A
2019,kuw,47.814945220947266,A
2019,bah,8.321897506713867,A
2019,omn,20.309539794921875,A
2020,ksa,276.9916591644287,A
2020,uae,85.70919036865234,A
2020,qat,30.534561157226562,A
2020,kuw,51.274654388427734,A
2020,bah,8.578180313110352,A
2020,omn,21.373376846313477,A
2021,ksa,283.4696407318115,A
2021,uae,74.38351631164551,A
2021,qat,32.15561294555664,A
2021,kuw,39.46096229553223,A
2021,bah,8.8985595703125,A
2021,omn,22.66533660888672,A
2022,ksa,292.4361763000488,A
2022,uae,85.91091728210449,A
2022,qat,33.11503219604492,A
2022,kuw,41.01666831970215,A
2022,bah,9.220296859741211,A
2022,omn,22.366239547729492,A
2023,ksa,307.22225761413574,A
2023,uae,91.94086265563965,A
2023,qat,34.52226448059082,A
2023,kuw,43.362321853637695,A
2023,bah,9.603683471679688,A
2023,omn,21.686065673828125,A
2024,ksa,322.32244300842285,A
2024,uae,100.89938545227051,A
2024,qat,35.918800354003906,A
2024,kuw,44.786354064941406,A
2024,bah,9.918842315673828,A
2024,omn,22.977807998657227,A
2025,ksa,337.72897720336914,A
2025,uae,103.4660873413086,A
2025,qat,37.13249969482422,A
2025,kuw,46.65599060058594,A
2025,bah,9.996427536010742,A
2025,omn,24.52895736694336,A
2026,ksa,353.9542484283447,A
2026,uae,109.32479667663574,A
2026,qat,38.44122123718262,A
2026,kuw,47.6427059173584,A
2026,bah,10.628971099853516,A
2026,omn,25.82041358947754,A
2027,ksa,370.9715042114258,A
2027,uae,109.53920936584473,A
2027,qat,40.02561950683594,A
2027,kuw,49.78325653076172,A
2027,bah,10.701314926147461,A
2027,omn,27.370643615722656,A
2028,ksa,388.3541088104248,A
2028,uae,111.24432754516602,A
2028,qat,41.862478256225586,A
2028,kuw,51.08736991882324,A
2028,bah,11.461893081665039,A
2028,omn,29.15548324584961,A
2029,ksa,406.6113033294678,A
2029,uae,117.52198600769043,A
2029,qat,43.47943878173828,A
2029,kuw,53.52643966674805,A
2029,bah,11.846269607543945,A
2029,omn,30.348766326904297,A
2030,ksa,420.31373405456543,A
2030,uae,124.15869522094727,A
2030,qat,45.0350456237793,A
2030,kuw,55.24551963806152,A
2030,bah,12.017932891845703,A
2030,omn,31.19817543029785,A
2015,ksa,234.1159782409668,B
2015,uae,69.11360549926758,B
2015,qat,23.717954635620117,B
2015,kuw,39.0295524597168,B
2015,bah,66.53519248962402,B
2015,omn,19.87840461730957,B
2016,ksa,242.24397468566895,B
2016,uae,73.77470779418945,B
2016,qat,25.4510440826416,B
2016,kuw,40.99080848693848,B
2016,bah,7.1768798828125,B
2016,omn,19.933191299438477,B
2017,ksa,242.121244430542,B
2017,uae,76.2204704284668,B
2017,qat,25.920942306518555,B
2017,kuw,42.68790245056152,B
2017,bah,7.547691345214844,B
2017,omn,20.512170791625977,B
2018,ksa,255.55195236206055,B
2018,uae,79.05137634277344,B
2018,qat,28.230104446411133,B
2018,kuw,45.42554473876953,B
2018,bah,8.00143051147461,B
2018,omn,20.770776748657227,B
2019,ksa,244.25688552856445,B
2019,uae,70.32161331176758,B
2019,qat,23.117595672607422,B
2019,kuw,47.814945220947266,B
2019,bah,8.009927749633789,B
2019,omn,16.480079650878906,B
2020,ksa,252.47367095947266,B
2020,uae,73.02992820739746,B
2020,qat,23.593786239624023,B
2020,kuw,51.274654388427734,B
2020,bah,8.266250610351562,B
2020,omn,16.885311126708984,B
2021,ksa,258.08439445495605,B
2021,uae,57.326887130737305,B
2021,qat,23.40735626220703,B
2021,kuw,36.42216110229492,B
2021,bah,8.457326889038086,B
2021,omn,17.55621337890625,B
2022,ksa,266.90342903137207,B
2022,uae,63.2044620513916,B
2022,qat,23.357603073120117,B
2022,kuw,38.34966468811035,B
2022,bah,8.777729034423828,B
2022,omn,18.17905044555664,B
2023,ksa,276.2093868255615,B
2023,uae,66.06661415100098,B
2023,qat,24.353363037109375,B
2023,kuw,40.35175323486328,B
2023,bah,9.162214279174805,B
2023,omn,18.933000564575195,B
2024,ksa,294.46030616760254,B
2024,uae,72.69450187683105,B
2024,qat,25.408605575561523,B
2024,kuw,42.1099910736084,B
2024,bah,9.482616424560547,B
2024,omn,19.607791900634766,B
2025,ksa,307.17944145202637,B
2025,uae,68.10128402709961,B
2025,qat,26.351173400878906,B
2025,kuw,33.95840072631836,B
2025,bah,9.867101669311523,B
2025,omn,20.415748596191406,B
2026,ksa,321.6159038543701,B
2026,uae,71.19451713562012,B
2026,qat,27.46993637084961,B
2026,kuw,35.995798110961914,B
2026,bah,10.187503814697266,B
2026,omn,21.086849212646484,B
2027,ksa,337.0697078704834,B
2027,uae,73.25478744506836,B
2027,qat,28.72317123413086,B
2027,kuw,36.0807991027832,B
2027,bah,10.571989059448242,B
2027,omn,21.88907814025879,B
2028,ksa,352.08055877685547,B
2028,uae,76.3813362121582,B
2028,qat,29.89107894897461,B
2028,kuw,38.20319938659668,B
2028,bah,11.020553588867188,B
2028,omn,22.834091186523438,B
2029,ksa,365.8975658416748,B
2029,uae,79.14516258239746,B
2029,qat,31.207120895385742,B
2029,kuw,38.20319938659668,B
2029,bah,11.405036926269531,B
2029,omn,23.664302825927734,B
2030,ksa,355.79962158203125,B
2030,uae,81.75153160095215,B
2030,qat,32.17801475524902,B
2030,kuw,40.325599670410156,B
2030,bah,11.853601455688477,B
2030,omn,24.632884979248047,B
2015,ksa,234.1159782409668,C
2015,uae,69.11360549926758,C
2015,qat,23.717954635620117,C
2015,kuw,39.0295524597168,C
2015,bah,66.53519248962402,C
2015,omn,19.87840461730957,C
2016,ksa,242.24397468566895,C
2016,uae,73.77470779418945,C
2016,qat,25.4510440826416,C
2016,kuw,40.99080848693848,C
2016,bah,7.1768798828125,C
2016,omn,19.933191299438477,C
2017,ksa,242.121244430542,C
2017,uae,76.2204704284668,C
2017,qat,25.920942306518555,C
2017,kuw,42.68790245056152,C
2017,bah,7.547691345214844,C
2017,omn,20.512170791625977,C
2018,ksa,255.55195236206055,C
2018,uae,79.05137634277344,C
2018,qat,28.230104446411133,C
2018,kuw,45.42554473876953,C
2018,bah,8.00143051147461,C
2018,omn,20.770776748657227,C
2019,ksa,294.8003902435303,C
2019,uae,99.88021850585938,C
2019,qat,27.648469924926758,C
2019,kuw,53.88401985168457,C
2019,bah,11.29604721069336,C
2019,omn,23.421789169311523,C
2020,ksa,323.72992515563965,C
2020,uae,101.13664054870605,C
2020,qat,32.54840087890625,C
2020,kuw,56.76991844177246,C
2020,bah,27.95709991455078,C
2020,omn,34.02758026123047,C
2021,ksa,322.5240230560303,C
2021,uae,82.13879776000977,C
2021,qat,32.394453048706055,C
2021,kuw,59.27229309082031,C
2021,bah,26.960647583007812,C
2021,omn,31.39605712890625,C
2022,ksa,333.2845516204834,C
2022,uae,82.22631645202637,C
2022,qat,32.98076248168945,C
2022,kuw,59.338693618774414,C
2022,bah,25.50127410888672,C
2022,omn,33.739877700805664,C
2023,ksa,349.63288497924805,C
2023,uae,84.95907974243164,C
2023,qat,36.332292556762695,C
2023,kuw,62.88601303100586,C
2023,bah,23.276260375976562,C
2023,omn,37.79359436035156,C
2024,ksa,373.18814277648926,C
2024,uae,90.23588943481445,C
2024,qat,40.557220458984375,C
2024,kuw,67.10471725463867,C
2024,bah,27.3824520111084,C
2024,omn,38.00665473937988,C
2025,ksa,390.2184181213379,C
2025,uae,92.46592712402344,C
2025,qat,42.784339904785156,C
2025,kuw,69.76167678833008,C
2025,bah,27.899944305419922,C
2025,omn,38.15511131286621,C
2026,ksa,409.6065902709961,C
2026,uae,101.77740669250488,C
2026,qat,43.66685104370117,C
2026,kuw,73.14655113220215,C
2026,bah,30.236040115356445,C
2026,omn,38.381446838378906,C
2027,ksa,416.24876403808594,C
2027,uae,110.08879661560059,C
2027,qat,45.47584342956543,C
2027,kuw,73.74895286560059,C
2027,bah,34.292335510253906,C
2027,omn,38.86088180541992,C
2028,ksa,410.52664375305176,C
2028,uae,111.39626121520996,C
2028,qat,49.758649826049805,C
2028,kuw,76.74139404296875,C
2028,bah,34.43077087402344,C
2028,omn,39.04048728942871,C
2029,ksa,405.17444038391113,C
2029,uae,122.67604637145996,C
2029,qat,58.29769325256348,C
2029,kuw,78.12860870361328,C
2029,bah,48.46078300476074,C
2029,omn,39.54020118713379,C
2030,ksa,404.17615699768066,C
2030,uae,129.8243465423584,C
2030,qat,61.790117263793945,C
2030,kuw,81.9736213684082,C
2030,bah,58.98788261413574,C
2030,omn,41.79288101196289,C
2015,ksa,234.1159782409668,D
2015,uae,69.11360549926758,D
2015,qat,23.717954635620117,D
2015,kuw,39.0295524597168,D
2015,bah,66.53519248962402,D
2015,omn,19.87840461730957,D
2016,ksa,242.24397468566895,D
2016,uae,73.77470779418945,D
2016,qat,25.4510440826416,D
2016,kuw,40.99080848693848,D
2016,bah,7.1768798828125,D
2016,omn,19.933191299438477,D
2017,ksa,242.121244430542,D
2017,uae,76.2204704284668,D
2017,qat,25.920942306518555,D
2017,kuw,42.68790245056152,D
2017,bah,7.547691345214844,D
2017,omn,20.512170791625977,D
2018,ksa,255.55195236206055,D
2018,uae,79.05137634277344,D
2018,qat,28.230104446411133,D
